,INCOME,SEX,MARITAL.STATUS,AGE,EDUCATION,OCCUPATION,AREA,DUAL.INCOMES,HOUSEHOLD.SIZE,UNDER18,HOUSEHOLDER,HOME.TYPE,ETHNIC.CLASS,LANGUAGE
2000,[15.000-20.000),F,Married,65+,Graduated High Scool,Retired,10+ years,No,Two,,Own,Condominium,White,English
2001,-10.000),F,Married,25-34,Graduated High Scool,Sales Worker,10+ years,No,Four,Two,Rent,,White,English
2002,[30.000-40.000),F,Married,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Four,Two,Rent,House,White,English
2003,[50.000-75.000),M,Married,45-54,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Yes,Two,,Own,Condominium,White,English
2004,[15.000-20.000),F,Single,25-34,1 to 3 years of college,Sales Worker,10+ years,Not Married,Three,Two,Own,House,,
2005,[10.000-15.000),F,Single,18-24,1 to 3 years of college,Sales Worker,1-3 years,Not Married,Two,Two,Rent,House,White,English
2006,[50.000-75.000),F,Married,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Three,One,Rent,House,Hispanic,English
2007,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Three,One,Family,House,American Indian,English
2008,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Three,One,Family,House,White,English
2009,[30.000-40.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Three,,Family,,Other,English
2010,[25.000-30.000),F,Married,45-54,Graduated High Scool,Homemaker,10+ years,No,Four,Two,Own,House,White,English
2011,[75.000-,F,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,Four,,Own,House,White,English
2012,[20.000-25.000),F,Widowed,65+,1 to 3 years of college,Retired,10+ years,Not Married,Five,,Family,House,White,English
2013,-10.000),M,Single,18-24,1 to 3 years of college,Unemployed,10+ years,Not Married,One,,Family,Condominium,White,English
2014,[25.000-30.000),M,Single,45-54,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Own,Mobile Home,White,English
2015,-10.000),F,Married,14-17,Graduated High Scool,"Student, HS or College",4-6 years,No,Four,Three,Family,House,Hispanic,Spanish
2016,[30.000-40.000),F,Single,18-24,1 to 3 years of college,,10+ years,Not Married,Three,One,Family,Apartment,Black,English
2017,[10.000-15.000),F,Single,18-24,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,Three,Two,Rent,Apartment,Black,English
2018,[20.000-25.000),F,Married,45-54,Grades 9 to 11,Unemployed,10+ years,No,Two,,Rent,Apartment,Black,English
2019,[30.000-40.000),M,Single,45-54,Grad Study,Professional/Managerial,10+ years,Not Married,,,Own,House,Black,English
2020,[10.000-15.000),F,Single,25-34,Graduated High Scool,Clerical/Service Worker,,Not Married,Three,Two,Rent,Apartment,Black,English
2021,[10.000-15.000),F,Single,18-24,Graduated High Scool,Homemaker,-1 year,Not Married,Four,Two,Rent,Apartment,Black,English
2022,[50.000-75.000),F,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Three,,Own,House,Black,English
2023,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Four,Family,House,Black,English
2024,-10.000),F,,14-17,Grades 9 to 11,"Student, HS or College",10+ years,No,,,Family,,Black,
2025,-10.000),M,Single,18-24,Grades 9 to 11,Factory Worker/Laborer/Driver,10+ years,Not Married,Four,One,Family,House,Black,
2026,[15.000-20.000),F,Single,18-24,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,Three,Rent,Apartment,Black,English
2027,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",4-6 years,Not Married,Three,One,Family,House,Black,
2028,[15.000-20.000),F,Married,25-34,Grad Study,Clerical/Service Worker,10+ years,Yes,Three,One,Rent,House,Black,English
2029,[30.000-40.000),F,Married,45-54,Grades 9 to 11,Homemaker,10+ years,No,Four,One,Own,House,Black,English
2030,-10.000),F,Single,25-34,Graduated High Scool,Sales Worker,10+ years,Not Married,Three,One,Rent,Apartment,Black,English
2031,[10.000-15.000),M,Single,14-17,Grades 9 to 11,Sales Worker,10+ years,Not Married,Three,,Own,House,Black,English
2032,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",1-3 years,Not Married,Four,Two,Family,Apartment,Black,English
2033,[50.000-75.000),F,Married,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Two,,Rent,Condominium,Black,English
2034,[10.000-15.000),F,Single,18-24,Graduated High Scool,"Student, HS or College",4-6 years,Not Married,Five,Two,Family,House,Black,English
2035,[15.000-20.000),M,Single,25-34,1 to 3 years of college,Military,-1 year,Not Married,One,,Own,House,Black,Spanish
2036,[20.000-25.000),F,Single,18-24,Graduated High Scool,Unemployed,10+ years,Not Married,Three,One,Family,House,Black,English
2037,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Three,One,Family,House,Black,English
2038,-10.000),M,,14-17,Grades 9 to 11,,,No,,,Family,,Black,English
2039,[30.000-40.000),M,,45-54,Graduated High Scool,Homemaker,10+ years,Yes,Three,Five,,,Black,English
2040,[20.000-25.000),F,Widowed,55-64,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,One,,Rent,Apartment,Black,English
2041,[30.000-40.000),F,Married,55-64,Grades 9 to 11,Retired,,No,Two,,Own,House,Black,English
2042,[15.000-20.000),F,Divorced,65+,1 to 3 years of college,Retired,10+ years,Not Married,One,,Rent,Apartment,White,English
2043,[10.000-15.000),F,Married,25-34,Graduated High Scool,Homemaker,10+ years,No,Four,Two,Rent,Apartment,White,English
2044,[40.000-50.000),M,Married,25-34,1 to 3 years of college,Professional/Managerial,4-6 years,Yes,Two,,Own,House,White,English
2045,[15.000-20.000),M,,25-34,Graduated High Scool,Factory Worker/Laborer/Driver,1-3 years,Yes,Five,,Rent,,Hispanic,English
2046,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",4-6 years,Not Married,Four,One,Family,Apartment,Hispanic,Spanish
2047,[15.000-20.000),F,Divorced,25-34,Graduated High Scool,Clerical/Service Worker,1-3 years,Not Married,Two,One,Rent,Condominium,Hispanic,English
2048,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",1-3 years,Not Married,Five,Three,Family,House,Black,Other
2049,[50.000-75.000),F,Married,45-54,Graduated High Scool,Homemaker,10+ years,No,Two,,Own,House,White,Other
2050,[75.000-,M,Married,55-64,Grad Study,Retired,10+ years,No,Three,,Own,House,White,Other
2051,[50.000-75.000),F,Married,45-54,College graduate,Sales Worker,4-6 years,Yes,Two,,Own,Condominium,White,English
2052,-10.000),M,Single,14-17,Grades 9 to 11,Unemployed,7-10 years,Not Married,Six,Three,Family,House,Black,English
2053,-10.000),F,Single,14-17,Grade 8 or less,,4-6 years,Not Married,,,Family,Apartment,Black,Other
2054,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Three,Two,Family,Apartment,Black,English
2055,[15.000-20.000),F,Married,25-34,1 to 3 years of college,"Student, HS or College",,No,Five,Three,Rent,,Black,English
2056,[40.000-50.000),M,Married,35-44,College graduate,Factory Worker/Laborer/Driver,10+ years,No,Five,Three,Own,House,Black,English
2057,-10.000),M,Together,18-24,Grades 9 to 11,Factory Worker/Laborer/Driver,10+ years,Yes,Nine or more,Four,Family,Apartment,Black,English
2058,-10.000),M,Divorced,55-64,Grades 9 to 11,Retired,10+ years,Not Married,One,,Rent,House,Black,English
2059,[10.000-15.000),M,Married,55-64,Grades 9 to 11,Retired,10+ years,No,Seven,Three,Own,House,Black,English
2060,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,,,Family,Apartment,Hispanic,Spanish
2061,[10.000-15.000),F,Divorced,35-44,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Seven,Five,Rent,Apartment,Hispanic,English
2062,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Three,Family,House,Hispanic,English
2063,[40.000-50.000),M,Single,18-24,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,Two,,Rent,Apartment,Black,English
2064,[40.000-50.000),F,Divorced,35-44,College graduate,Professional/Managerial,10+ years,Not Married,One,,Rent,House,White,English
2065,-10.000),M,,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Yes,Three,One,Family,,Other,English
2066,[10.000-15.000),F,Married,18-24,1 to 3 years of college,Sales Worker,-1 year,Yes,Two,,Rent,Apartment,Asian,Other
2067,[40.000-50.000),M,Divorced,45-54,1 to 3 years of college,Sales Worker,10+ years,Not Married,Seven,Four,Own,House,Other,English
2068,[40.000-50.000),F,Married,35-44,Grad Study,,10+ years,No,Three,One,Own,House,White,English
2069,[40.000-50.000),M,Married,55-64,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Two,,Own,House,White,English
2070,-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",,Not Married,Three,One,Family,House,Other,English
2071,[10.000-15.000),F,Married,25-34,Graduated High Scool,Homemaker,,No,Four,Two,Rent,Apartment,Black,English
2072,-10.000),M,Single,14-17,Grades 9 to 11,Unemployed,,Not Married,,,,,Black,English
2073,[30.000-40.000),M,Married,35-44,College graduate,Factory Worker/Laborer/Driver,,Yes,Three,One,Own,,Black,English
2074,[50.000-75.000),M,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,No,Three,One,Own,House,Black,English
2075,[30.000-40.000),F,Married,35-44,College graduate,Professional/Managerial,10+ years,No,Four,One,Own,House,Black,English
2076,[40.000-50.000),F,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Six,Two,Own,House,White,English
2077,-10.000),M,Together,35-44,Graduated High Scool,Retired,10+ years,No,Two,,Rent,Apartment,White,English
2078,[50.000-75.000),F,Married,45-54,1 to 3 years of college,Homemaker,10+ years,No,Five,,Own,House,White,English
2079,[30.000-40.000),M,Single,25-34,College graduate,Factory Worker/Laborer/Driver,7-10 years,Not Married,One,,Rent,Apartment,Asian,English
2080,[10.000-15.000),M,Single,18-24,Graduated High Scool,Homemaker,10+ years,Not Married,Three,,Family,,White,English
2081,-10.000),F,Divorced,35-44,Graduated High Scool,Retired,10+ years,Not Married,Two,,Rent,Apartment,White,English
2082,[50.000-75.000),F,Single,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Five,,Own,House,White,English
2083,[30.000-40.000),F,Divorced,45-54,1 to 3 years of college,Homemaker,,Not Married,Six,Three,Own,House,Black,English
2084,[15.000-20.000),M,Married,45-54,Grades 9 to 11,Unemployed,,Yes,Three,,Own,House,Black,English
2085,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Three,One,Family,House,Black,English
2086,-10.000),F,Single,35-44,Graduated High Scool,Unemployed,10+ years,Not Married,Four,Two,Rent,Apartment,Black,English
2087,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",,Not Married,,,Family,Apartment,Black,English
2088,-10.000),F,Divorced,35-44,1 to 3 years of college,Sales Worker,10+ years,Not Married,Three,,Own,House,Black,English
2089,[20.000-25.000),F,Married,25-34,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Yes,Five,Two,Own,House,Black,English
2090,[50.000-75.000),F,Married,45-54,Graduated High Scool,"Student, HS or College",10+ years,No,Three,One,Own,House,Black,English
2091,[20.000-25.000),M,Single,18-24,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,One,,Rent,Condominium,Black,English
2092,-10.000),F,Married,18-24,Graduated High Scool,Clerical/Service Worker,,Yes,,,Rent,Apartment,Black,English
2093,[30.000-40.000),F,Married,18-24,1 to 3 years of college,Clerical/Service Worker,,Yes,Two,,Rent,Apartment,Black,English
2094,[15.000-20.000),F,Single,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Eight,Three,Family,House,Black,English
2095,[20.000-25.000),F,Single,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Eight,Three,Family,House,Black,English
2096,[15.000-20.000),M,Single,18-24,Graduated High Scool,Military,10+ years,Not Married,Six,Four,Rent,Apartment,Black,English
2097,[25.000-30.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,7-10 years,Not Married,One,,Rent,House,Other,English
2098,[40.000-50.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,Six,Three,Family,House,Other,English
2099,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",7-10 years,Not Married,Six,One,Family,House,White,English
2100,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",1-3 years,Not Married,Four,One,Family,House,American Indian,English
2101,-10.000),F,Together,18-24,Graduated High Scool,Sales Worker,-1 year,Not Married,Two,,Rent,,White,English
2102,[30.000-40.000),M,Together,25-34,College graduate,Professional/Managerial,1-3 years,Yes,Two,,Rent,Apartment,White,
2103,[15.000-20.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Rent,Apartment,Black,English
2104,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Seven,Three,Family,House,Black,English
2105,[25.000-30.000),M,Married,18-24,Graduated High Scool,Professional/Managerial,10+ years,Yes,Two,,Rent,Apartment,Black,English
2106,[30.000-40.000),F,Divorced,35-44,College graduate,Professional/Managerial,1-3 years,Not Married,One,,Rent,Apartment,Black,English
2107,[30.000-40.000),F,Single,14-17,Grades 9 to 11,Unemployed,10+ years,Not Married,Three,Two,Family,House,Black,English
2108,[10.000-15.000),M,Divorced,35-44,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,Three,,Rent,Apartment,Black,English
2109,[40.000-50.000),M,Married,25-34,College graduate,Professional/Managerial,7-10 years,Yes,Three,One,Own,Condominium,Black,English
2110,[15.000-20.000),M,Together,18-24,1 to 3 years of college,Military,10+ years,No,Two,,Rent,Condominium,Black,English
2111,[75.000-,M,Married,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Four,,Own,House,Black,English
2112,-10.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Three,One,Family,Apartment,Black,English
2113,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",,Not Married,Three,Two,Family,House,Black,English
2114,[30.000-40.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,1-3 years,Not Married,Four,One,Family,House,Black,English
2115,[15.000-20.000),M,Together,25-34,Graduated High Scool,Sales Worker,10+ years,Not Married,Two,,Rent,Apartment,Black,English
2116,[25.000-30.000),M,Divorced,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Rent,Apartment,Black,English
2117,[15.000-20.000),M,Single,25-34,Graduated High Scool,Professional/Managerial,10+ years,Not Married,Four,,Rent,Apartment,Black,English
2118,[75.000-,M,Single,18-24,1 to 3 years of college,"Student, HS or College",,Not Married,Three,,Family,House,Black,English
2119,[20.000-25.000),M,Married,35-44,1 to 3 years of college,Factory Worker/Laborer/Driver,7-10 years,Yes,Four,Two,Rent,House,Black,English
2120,[25.000-30.000),F,Married,25-34,Graduated High Scool,Clerical/Service Worker,10+ years,Yes,Three,One,Rent,House,Black,English
2121,[10.000-15.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,Five,Two,Family,House,Black,English
2122,[20.000-25.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,Five,Two,Family,Apartment,Black,English
2123,[10.000-15.000),M,Single,35-44,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,One,,Rent,Apartment,Black,English
2124,-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Four,One,Family,House,Black,English
2125,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Six,Two,Family,Apartment,Black,English
2126,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,One,Family,House,Black,English
2127,-10.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Three,One,Family,House,Black,English
2128,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",,Not Married,Three,One,Family,Apartment,Black,English
2129,[25.000-30.000),M,Divorced,25-34,1 to 3 years of college,Sales Worker,1-3 years,Not Married,One,One,,,White,English
2130,[40.000-50.000),F,Widowed,35-44,College graduate,Professional/Managerial,10+ years,Not Married,Two,,Own,House,Black,English
2131,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,One,Family,House,Black,English
2132,[50.000-75.000),F,Married,35-44,Grad Study,Professional/Managerial,10+ years,Yes,Four,Two,Own,House,Black,
2133,[20.000-25.000),M,Together,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,4-6 years,Not Married,Three,One,Rent,Apartment,American Indian,English
2134,[10.000-15.000),F,Married,18-24,Graduated High Scool,Homemaker,7-10 years,No,Four,,Rent,House,Black,English
2135,[10.000-15.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Six,Two,Family,House,Black,English
2136,[20.000-25.000),M,Single,18-24,College graduate,"Student, HS or College",4-6 years,Not Married,,,Rent,Apartment,Black,English
2137,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",4-6 years,Not Married,Three,One,Family,House,Black,English
2138,-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Three,Two,Family,House,Black,English
2139,-10.000),F,Single,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Four,,Own,House,Black,English
2140,[10.000-15.000),F,Together,18-24,Graduated High Scool,Clerical/Service Worker,1-3 years,Not Married,Two,,Rent,Apartment,Hispanic,Spanish
2141,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",7-10 years,Not Married,Four,Three,Family,Condominium,Hispanic,English
2142,-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Eight,Eight,Family,House,Hispanic,Spanish
2143,[20.000-25.000),F,Divorced,35-44,1 to 3 years of college,Military,10+ years,Not Married,,,Own,House,Hispanic,English
2144,[30.000-40.000),M,Single,18-24,1 to 3 years of college,Military,,Not Married,Two,,Rent,Apartment,Hispanic,English
2145,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Three,Family,House,Hispanic,English
2146,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",4-6 years,Not Married,Three,One,Family,House,White,English
2147,[40.000-50.000),M,Married,45-54,Grad Study,Clerical/Service Worker,10+ years,Yes,Four,Two,Rent,House,White,
2148,[40.000-50.000),M,Married,25-34,1 to 3 years of college,Sales Worker,4-6 years,Yes,Four,Two,Own,House,Other,Spanish
2149,[15.000-20.000),F,Married,55-64,1 to 3 years of college,Professional/Managerial,10+ years,No,,,Rent,Apartment,White,English
2150,[40.000-50.000),F,Widowed,55-64,1 to 3 years of college,Professional/Managerial,7-10 years,Not Married,One,,Rent,Apartment,White,English
2151,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,Seven,Family,House,White,English
2152,-10.000),F,Divorced,18-24,1 to 3 years of college,Sales Worker,10+ years,Not Married,Three,One,Own,House,White,English
2153,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Three,Two,Family,House,White,English
2154,[30.000-40.000),F,Single,45-54,College graduate,Professional/Managerial,10+ years,Not Married,One,,Own,House,White,English
2155,[20.000-25.000),F,Divorced,45-54,Grad Study,Clerical/Service Worker,10+ years,Not Married,Four,Two,Rent,House,White,English
2156,[40.000-50.000),F,Married,45-54,1 to 3 years of college,Clerical/Service Worker,10+ years,No,Two,,Own,House,Other,English
2157,[25.000-30.000),M,Single,18-24,1 to 3 years of college,Professional/Managerial,7-10 years,Not Married,Four,,Family,House,Asian,Other
2158,-10.000),M,Single,18-24,Graduated High Scool,Military,7-10 years,Not Married,,,,Other,Black,English
2159,[15.000-20.000),F,Divorced,45-54,Graduated High Scool,Military,7-10 years,Not Married,One,,Rent,House,Black,English
2160,[40.000-50.000),M,Single,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,Three,,Family,Apartment,Black,English
2161,-10.000),M,Single,18-24,Grades 9 to 11,Factory Worker/Laborer/Driver,1-3 years,Not Married,,,Rent,Apartment,Black,English
2162,[30.000-40.000),M,Single,14-17,Grades 9 to 11,Retired,10+ years,Not Married,Six,Five,Family,House,Black,English
2163,[25.000-30.000),M,Together,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,,Own,House,Black,English
2164,[50.000-75.000),F,Divorced,45-54,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,,Rent,,Black,English
2165,[50.000-75.000),F,Together,18-24,1 to 3 years of college,Professional/Managerial,7-10 years,Not Married,,,Own,House,Black,Spanish
2166,[25.000-30.000),F,,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Three,Two,Own,House,Black,English
2167,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Three,One,Family,Apartment,Black,English
2168,[15.000-20.000),M,,14-17,Grades 9 to 11,Unemployed,10+ years,No,Two,One,Family,Apartment,Black,English
2169,[10.000-15.000),F,Single,18-24,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Three,,Family,House,Black,English
2170,[10.000-15.000),M,Single,18-24,Graduated High Scool,Military,1-3 years,Not Married,,,,,Black,English
2171,[20.000-25.000),M,Together,18-24,1 to 3 years of college,Professional/Managerial,,No,Three,One,Rent,,Black,English
2172,[15.000-20.000),F,Single,14-17,Grades 9 to 11,Military,10+ years,Not Married,Four,Three,Family,House,Black,English
2173,[40.000-50.000),M,Divorced,35-44,College graduate,Professional/Managerial,7-10 years,Not Married,Two,,Rent,House,Black,English
2174,[10.000-15.000),F,Single,14-17,Grades 9 to 11,Unemployed,7-10 years,Not Married,Six,Two,Family,Apartment,Black,English
2175,[25.000-30.000),F,Single,25-34,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Three,Own,House,Black,English
2176,[40.000-50.000),M,Single,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,,,,,Black,English
2177,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Three,One,Family,House,Black,English
2178,[20.000-25.000),F,Together,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Two,,Rent,Apartment,Black,English
2179,[25.000-30.000),F,Single,35-44,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,One,Own,House,Black,English
2180,[30.000-40.000),M,Single,25-34,Graduated High Scool,Unemployed,1-3 years,Not Married,Three,,Rent,Apartment,Black,English
2181,[30.000-40.000),M,Divorced,45-54,Graduated High Scool,Clerical/Service Worker,1-3 years,Not Married,Four,,Rent,Apartment,Black,English
2182,[30.000-40.000),M,Single,25-34,College graduate,Sales Worker,1-3 years,Not Married,One,,Rent,Apartment,Black,English
2183,[15.000-20.000),F,Married,18-24,Graduated High Scool,Professional/Managerial,10+ years,Yes,Two,,Rent,Apartment,Black,English
2184,[10.000-15.000),M,Married,25-34,1 to 3 years of college,Clerical/Service Worker,4-6 years,No,,,Rent,House,Black,English
2185,[25.000-30.000),F,Married,18-24,1 to 3 years of college,Unemployed,10+ years,No,Two,,Own,House,Black,English
2186,[25.000-30.000),M,Married,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,4-6 years,Yes,Two,,Rent,Apartment,Black,English
2187,[10.000-15.000),F,Single,25-34,1 to 3 years of college,Clerical/Service Worker,1-3 years,Not Married,Two,One,Rent,Apartment,Black,English
2188,[20.000-25.000),M,Single,25-34,Grades 9 to 11,Factory Worker/Laborer/Driver,10+ years,Not Married,Three,,Family,House,Black,English
2189,[25.000-30.000),F,Married,25-34,College graduate,Professional/Managerial,,Yes,Three,,Rent,House,Black,English
2190,[15.000-20.000),M,Widowed,55-64,1 to 3 years of college,Retired,10+ years,Not Married,One,,Own,House,Black,English
2191,[40.000-50.000),F,Divorced,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Four,Two,Rent,House,Black,English
2192,[40.000-50.000),M,Single,14-17,Grade 8 or less,Unemployed,,Not Married,Four,Two,Rent,House,Black,English
2193,[40.000-50.000),F,Widowed,45-54,Grad Study,"Student, HS or College",10+ years,Not Married,Three,Two,Own,,White,English
2194,[40.000-50.000),M,Married,55-64,Graduated High Scool,Factory Worker/Laborer/Driver,4-6 years,Yes,Four,One,Own,House,Pacific Islander,English
2195,[30.000-40.000),F,Married,25-34,Grades 9 to 11,Homemaker,1-3 years,Yes,Four,,Rent,Apartment,American Indian,English
2196,[10.000-15.000),F,Together,18-24,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,Three,,Rent,Apartment,Black,English
2197,[15.000-20.000),M,Together,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,7-10 years,Not Married,Three,,Rent,Apartment,Black,English
2198,-10.000),F,Single,18-24,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,Three,,Rent,Apartment,Black,English
2199,-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",,Not Married,Four,,Family,Apartment,Black,English
2200,-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",,Not Married,,,Family,Apartment,Black,English
2201,[10.000-15.000),F,Single,25-34,Graduated High Scool,Homemaker,10+ years,Not Married,Five,Four,Rent,Apartment,Black,English
2202,-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",,Not Married,Four,Three,Family,Apartment,Black,English
2203,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",,Not Married,Four,Three,Family,Apartment,Black,English
2204,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",,Not Married,Three,One,Family,House,Black,English
2205,-10.000),F,Single,18-24,Grades 9 to 11,"Student, HS or College",1-3 years,Not Married,Four,One,Family,Apartment,Black,English
2206,[15.000-20.000),F,Divorced,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Three,,Rent,Condominium,Black,English
2207,[40.000-50.000),F,Widowed,65+,Graduated High Scool,Retired,,Not Married,One,,Rent,House,Black,English
2208,-10.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,Two,,Rent,Apartment,White,English
2209,[10.000-15.000),M,Together,35-44,1 to 3 years of college,Unemployed,1-3 years,Not Married,Four,,Rent,Apartment,White,English
2210,[50.000-75.000),M,Married,35-44,College graduate,Professional/Managerial,,No,,,,,White,
2211,-10.000),M,Single,25-34,1 to 3 years of college,Unemployed,10+ years,Not Married,One,,,,White,English
2212,[50.000-75.000),M,Single,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Eight,Three,Family,House,Hispanic,Spanish
2213,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Two,One,Family,Apartment,Hispanic,English
2214,-10.000),M,Together,25-34,College graduate,Factory Worker/Laborer/Driver,1-3 years,Not Married,Two,,,Apartment,Black,English
2215,-10.000),F,Single,18-24,Graduated High Scool,Unemployed,10+ years,Not Married,One,,Own,Other,Black,English
2216,[10.000-15.000),M,Single,65+,College graduate,Retired,,Not Married,One,,Rent,Apartment,White,English
2217,-10.000),M,Single,65+,College graduate,Military,7-10 years,Not Married,One,,Rent,House,White,English
2218,[50.000-75.000),M,Single,18-24,1 to 3 years of college,Sales Worker,10+ years,Not Married,Five,One,Family,House,White,English
2219,[50.000-75.000),M,Single,45-54,Grad Study,Professional/Managerial,,Not Married,One,,Rent,Apartment,White,
